VolunteerID,Name,ContactInformation,Role,Availability,HoursContributed,EventsParticipated
55113,Kayden,01221456766,Wildlife,Available,17.0,2
66554,Nicole,01245674523,Community,Unavailable,51.0,8
54342,Yvonne,01275453432,Environment,Unavailable,31.0,4
56783,Jay,01256789032,Health,Available,13.0,2
00112,Jestina,01234236675,Wildlife,Unavailable,20.0,3
33111,Kiddin,0124534212,Wildlife,Available,65.5,9
53312,Elaine,0161232156,Health,Unavailable,20.0,3
52011,Xavier,0123332348,Environment,Available,0.0,0
66331,Tracy,01243454546,Community,Available,0.0,0
31312,Nyoki,01273423154,Health,Available,34.5,5
33012,Madison,01234201232,Health,Unavailable,41.5,5
20213,Jolyn,01254592813,Community,Available,40.5,6
22209,Charlotte,0172345655,Wildlife,Available,20.0,2
44443,Vincent,0127459908,Health,Unavailable,42.0,7
12222,Uriah,01154545455,Wildlife,Unavailable,50.0,8
24543,Ellen,0162110990,Community,Available,40.0,6
13579,Kathy,01234323565,Environment,Available,30.0,4
